iteration,timestamp,time_iso,sample_name,fault_class,agent,skill_id,skill_name,severity,rcf_score,detected,correct
1,1765832695.884025,2025-12-15 21:04:55,SHIP500-B02-T01477,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.38264,False,0
1,1765832708.0916705,2025-12-15 21:05:08,SHIP500-B02-T01478,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.390239,False,1
1,1765832708.0916705,2025-12-15 21:05:08,SHIP500-B02-T01478,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.390239,False,1
1,1765832708.0916705,2025-12-15 21:05:08,SHIP500-B02-T01478,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.390239,False,1
1,1765832720.281342,2025-12-15 21:05:20,SHIP500-B02-T01479,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.381728,False,0
1,1765832732.4925363,2025-12-15 21:05:32,SHIP500-B02-T01480,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.382868,False,0
1,1765832744.7252655,2025-12-15 21:05:44,SHIP500-B02-T01481,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.385845,False,1
1,1765832744.7252655,2025-12-15 21:05:44,SHIP500-B02-T01481,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.385845,False,1
1,1765832744.7252655,2025-12-15 21:05:44,SHIP500-B02-T01481,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.385845,False,1
1,1765832756.929994,2025-12-15 21:05:56,SHIP500-B02-T01482,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.388846,False,0
1,1765832769.1192665,2025-12-15 21:06:09,SHIP500-B02-T01483,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.395625,False,0
1,1765832781.309276,2025-12-15 21:06:21,SHIP500-B02-T01484,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.388615,False,1
1,1765832781.309276,2025-12-15 21:06:21,SHIP500-B02-T01484,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.388615,False,1
1,1765832781.309276,2025-12-15 21:06:21,SHIP500-B02-T01484,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.388615,False,1
1,1765832793.5386777,2025-12-15 21:06:33,SHIP500-B02-T01485,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.386305,False,0
1,1765832805.7565234,2025-12-15 21:06:45,SHIP500-B02-T01486,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.386075,False,1
1,1765832805.7565234,2025-12-15 21:06:45,SHIP500-B02-T01486,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.386075,False,1
1,1765832805.7565234,2025-12-15 21:06:45,SHIP500-B02-T01486,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.386075,False,1
1,1765832817.9630673,2025-12-15 21:06:57,SHIP500-B02-T01487,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.390239,False,0
1,1765832830.168985,2025-12-15 21:07:10,SHIP500-B02-T01488,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.388383,False,1
1,1765832830.168985,2025-12-15 21:07:10,SHIP500-B02-T01488,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.388383,False,1
1,1765832830.168985,2025-12-15 21:07:10,SHIP500-B02-T01488,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.388383,False,1
1,1765832842.3921635,2025-12-15 21:07:22,SHIP500-B02-T01489,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.386305,False,0
1,1765832854.5901842,2025-12-15 21:07:34,SHIP500-B02-T01490,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.383781,False,0
1,1765832866.799552,2025-12-15 21:07:46,SHIP500-B02-T01491,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.386766,False,1
1,1765832866.799552,2025-12-15 21:07:46,SHIP500-B02-T01491,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.386766,False,1
1,1765832866.799552,2025-12-15 21:07:46,SHIP500-B02-T01491,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.386766,False,1
1,1765832879.0355213,2025-12-15 21:07:59,SHIP500-B02-T01492,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.382412,False,0
1,1765832891.2488828,2025-12-15 21:08:11,SHIP500-B02-T01493,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.386075,False,0
1,1765832903.4565856,2025-12-15 21:08:23,SHIP500-B02-T01494,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.387227,False,1
1,1765832903.4565856,2025-12-15 21:08:23,SHIP500-B02-T01494,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.387227,False,1
1,1765832903.4565856,2025-12-15 21:08:23,SHIP500-B02-T01494,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.387227,False,1
1,1765832915.6626985,2025-12-15 21:08:35,SHIP500-B02-T01495,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.375412,False,0
