alarm_tag,active_samples,active_rate_pct,category,decision,reason,fault_class,fault_class_name
engine/alarm_main_thrust_host_fault_pre_alarm_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_main_thrust_host_fault_slowdown_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_main_thrust_host_fault_slowdown_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_main_thrust_host_fault_stop_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_main_thrust_host_fault_stop_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_main_thrust_host_fault_stop_non_override_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_main_thrust_host_fault_stop_non_override_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_main_thrust_host_running_1,2908,45.409,mode_status,REMOVE,"operational state indicator ('host_running'), not a fault signal",F00,Other / General Fault
engine/alarm_main_thrust_host_running_2,2911,45.456,mode_status,REMOVE,"operational state indicator ('host_running'), not a fault signal",F00,Other / General Fault
engine/alarm_main_thrust_host_speed_sensor_fault_feedback_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F11,Communication / Sensor Fault
engine/alarm_main_thrust_host_speed_sensor_fault_feedback_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F11,Communication / Sensor Fault
engine/alarm_main_thrust_remote_comprehensive_fault_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_main_thrust_remote_comprehensive_fault_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_main_thrust_remote_effective_1,2883,45.019,mode_status,REMOVE,"operational state indicator ('remote_effective'), not a fault signal",F00,Other / General Fault
engine/alarm_main_thrust_remote_effective_2,2884,45.034,mode_status,REMOVE,"operational state indicator ('remote_effective'), not a fault signal",F00,Other / General Fault
engine/alarm_main_thrust_remote_override_status_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_main_thrust_remote_override_status_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_main_thrust_shaft_lock_effective_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_main_thrust_shaft_lock_effective_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_main_thrust_shaft_speed_sensor_fault_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F11,Communication / Sensor Fault
engine/alarm_main_thrust_shaft_speed_sensor_fault_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F11,Communication / Sensor Fault
engine/alarm_main_thrust_standby_operation_effective_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_main_thrust_standby_operation_effective_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_main_thrust_start_allowed_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_main_thrust_start_allowed_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_main_thrust_start_failure_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_main_thrust_start_failure_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_observation_tank_high_level,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_oily_water_pump_starter_fault,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_oily_water_pump_starter_fault_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_oily_water_tank_left_high_level,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_oily_water_tank_right_high_level,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pipe_tunnel_tank_49_high_level,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pipe_tunnel_tank_63_high_level,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_ac220v_insulation_low,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
